Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description
Measles,Compartment,Susceptible Children,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Un-monitored Vaccinated Children,,0,False,0.0,None,Model file,Certain,,,,,,
Measles,Compartment,Monitored Vaccinated Children,,0,False,0.0,None,Model file,Certain,,,,,,
Measles,Compartment,Exposed Children,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Infectious Children,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Immune Children,,0,False,0.0,None,Model file,Certain,,,,,,
Measles,Compartment,Susceptible Adults,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Un-monitored Vaccinated Adults,,0,False,0.0,None,Model file,Certain,,,,,,
Measles,Compartment,Vaccinated Adults,,0,False,0.0,None,Model file,Certain,,,,,,
Measles,Compartment,Exposed Adults,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Infectious Adults,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Immune Adults,,0,False,0.0,None,Model file,Certain,,,,,,
Measles,Flow,,,,,,,Model file,Certain,,Exposed Children,RateFlow,0.0,False,Susceptible children become exposed after contact with infectious individuals.
Measles,Flow,,,,,,,Model file,Certain,,Infectious Children,RateFlow,0.0,False,Exposed children progress to the infectious stage.
Measles,Flow,,,,,,,Model file,Certain,,Immune Children,RateFlow,0.0,False,Infectious children recover and become immune.
Measles,Flow,,,,,,,Model file,Certain,,Exposed Adults,RateFlow,0.0,False,Susceptible adults become exposed after contact with infectious individuals.
Measles,Flow,,,,,,,Model file,Certain,,Infectious Adults,RateFlow,0.0,False,Exposed adults progress to the infectious stage.
Measles,Flow,,,,,,,Model file,Certain,,Immune Adults,RateFlow,0.0,False,Infectious adults recover and become immune.
